time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
1.397000,10.377285,-0.062793,-0.000131,7.305705,-1.007530,0.000651,5.000000,0.000000,0.000000,44.882887,49.588769,45.119402,40.410468,29414.000000,32498.000000,29569.000000,26483.000000
1.447000,9.428582,-0.037645,-0.000079,5.798954,0.333139,0.006359,5.000000,0.000000,0.000000,44.461738,40.619516,45.531395,49.387350,29138.000000,26620.000000,29839.000000,32366.000000
1.497000,9.037694,0.176573,0.000063,5.659418,0.327040,0.000363,4.000000,0.000000,0.000000,43.770504,42.491798,46.240940,47.496757,28685.000000,27847.000000,30304.000000,31127.000000
1.546000,8.292054,0.495279,0.000270,4.141210,0.297190,0.012641,4.000000,0.000000,0.000000,45.407797,39.938964,44.606699,50.046540,29758.000000,26174.000000,29233.000000,32798.000000
1.596000,7.526522,-0.042274,-0.000084,2.908809,0.065681,-0.003535,3.000000,0.000000,0.000000,41.327535,45.598535,48.653391,44.420539,27084.000000,29883.000000,31885.000000,29111.000000
1.646000,7.027155,-0.220972,-0.000174,5.228921,0.253265,0.001446,3.000000,0.000000,0.000000,41.902800,50.634012,48.090333,39.372854,27461.000000,33183.000000,31516.000000,25803.000000
1.696000,6.390157,-0.278125,-0.000133,6.359494,-1.210327,0.002328,2.000000,0.000000,0.000000,43.181506,43.637751,46.814679,46.366064,28299.000000,28598.000000,30680.000000,30386.000000
1.746000,5.636832,0.351100,0.000208,4.652840,-2.145488,-0.001387,2.000000,0.000000,0.000000,48.343633,40.158694,41.667811,49.829862,31682.000000,26318.000000,27307.000000,32656.000000
1.797000,4.964080,0.711015,0.000307,2.377897,-1.091367,0.005452,1.000000,0.000000,0.000000,46.163119,39.530022,43.843748,50.464637,30253.000000,25906.000000,28733.000000,33072.000000
1.846000,4.185788,0.587315,0.000324,1.989168,1.795594,-0.010861,1.000000,0.000000,0.000000,42.746624,45.853361,47.252613,44.145876,28014.000000,30050.000000,30967.000000,28931.000000
1.896000,3.325472,0.110900,0.000085,1.592951,0.902789,-0.011723,0.000000,0.000000,0.000000,46.262303,43.596551,43.736934,46.404211,30318.000000,28571.000000,28663.000000,30411.000000
1.946000,2.712434,-0.259574,-0.000170,1.074384,-0.807451,-0.000661,0.000000,0.000000,0.000000,50.098421,44.646372,39.900816,45.352865,32832.000000,29259.000000,26149.000000,29722.000000
1.998000,1.628331,-0.288925,-0.000230,0.922161,0.430290,-0.004494,1.000000,0.000000,0.000000,42.160678,45.357443,47.830930,44.650950,28701.000000,28506.000000,30275.000000,30481.000000
2.047000,1.472683,-0.093784,-0.000218,-0.182232,-1.012574,0.003311,1.000000,0.000000,0.000000,41.542687,41.312276,48.459602,48.683909,27225.000000,27074.000000,31758.000000,31905.000000
2.097000,1.547248,0.181378,-0.000231,-0.583387,-0.304044,0.000945,2.000000,0.000000,0.000000,43.836118,37.889677,46.164645,52.109560,28728.000000,24831.000000,30254.000000,34150.000000
2.147000,2.287823,0.058153,-0.000106,1.361496,-0.478672,-0.000480,2.000000,0.000000,0.000000,43.062486,46.120394,46.935225,43.880369,28221.000000,30225.000000,30759.000000,28757.000000
2.197000,2.556795,0.007159,-0.000099,0.186800,1.735656,-0.001191,3.000000,0.000000,0.000000,39.917601,43.317311,50.081636,46.683452,26160.000000,28388.000000,32821.000000,30594.000000
2.247000,3.200700,0.062101,-0.000152,3.189579,0.375319,0.002331,3.000000,0.000000,0.000000,43.724727,43.019760,46.279088,46.976425,28655.000000,28193.000000,30329.000000,30786.000000
2.297000,3.398078,0.300231,-0.000205,0.643314,0.654123,-0.000223,4.000000,0.000000,0.000000,43.315785,42.645914,46.683452,47.354849,28387.000000,27948.000000,30594.000000,31034.000000
2.347000,3.918106,0.035570,-0.000099,3.842115,-0.689543,-0.001467,4.000000,0.000000,0.000000,46.192111,48.212406,43.805600,41.788357,30272.000000,31596.000000,28708.000000,27386.000000
2.397000,4.338426,-0.080333,-0.000016,4.608395,-1.800807,-0.001166,5.000000,0.000000,0.000000,42.868696,42.771038,47.129015,47.229725,28094.000000,28030.000000,30886.000000,30952.000000
2.447000,5.310780,0.440501,-0.000355,3.237543,0.442010,-0.005324,5.000000,0.000000,0.000000,43.396658,51.580072,46.593423,38.429847,28440.000000,33803.000000,30535.000000,25185.000000
2.497000,6.153660,0.771565,-0.000498,6.271848,0.329640,-0.002133,6.000000,0.000000,0.000000,48.088808,43.033494,41.907378,46.968795,31515.000000,28202.000000,27464.000000,30781.000000
